insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
39666;19976;8932;4716;5934;2170;1544;1834;6241;2565;287;138,2090592;31,12195122;20,67595819;5,379790941;8,93728223;69,60278746;16,43205575;7,56097561;6,390243902;8,93728223
44021;22154;8969;4736;5727;2122;1601;1792;5861;2122;288;152,8506944;31,14236111;19,88541667;5,559027778;7,368055556;76,92361111;16,44444444;7,368055556;6,222222222;7,368055556
44114;22201;9044;4756;6144;2136;1943;1898;5141;2028;289;152,6435986;31,29411765;21,25951557;6,723183391;7,017301038;76,8200692;16,4567474;7,39100346;6,567474048;7,017301038
42891;21590;9087;4776;6592;2356;2064;1998;5624;1725;290;147,9;31,33448276;22,73103448;7,117241379;5,948275862;74,44827586;16,46896552;8,124137931;6,889655172;5,948275862
42520;21405;9134;4796;6859;2508;1662;1820;5304;2015;291;146,1168385;31,38831615;23,57044674;5,711340206;6,924398625;73,55670103;16,48109966;8,618556701;6,254295533;6,924398625
42959;21625;9149;4816;6707;2344;1500;1654;5506;1782;292;147,119863;31,33219178;22,96917808;5,136986301;6,102739726;74,05821918;16,49315068;8,02739726;5,664383562;6,102739726
44682;22487;9196;4836;6028;2194;1855;2146;6167;2492;293;152,4982935;31,38566553;20,57337884;6,33105802;8,505119454;76,74744027;16,50511945;7,488054608;7,324232082;8,505119454
43273;21783;9235;4856;6003;2206;1974;2044;6393;2667;294;147,1870748;31,41156463;20,41836735;6,714285714;9,071428571;74,09183673;16,5170068;7,503401361;6,952380952;9,071428571
46708;23501;9286;4876;6633;2570;1913;1970;5885;2506;295;158,3322034;31,4779661;22,48474576;6,484745763;8,494915254;79,66440678;16,52881356;8,711864407;6,677966102;8,494915254
46243;23269;9359;4896;6745;2348;1634;1834;5481;2000;296;156,2263514;31,61824324;22,78716216;5,52027027;6,756756757;78,61148649;16,54054054;7,932432432;6,195945946;6,756756757
45408;22852;9384;4916;6406;2602;1490;1850;6245;2521;297;152,8888889;31,5959596;21,56902357;5,016835017;8,488215488;76,94276094;16,55218855;8,760942761;6,228956229;8,488215488
44851;22574;9385;4936;6759;2666;1854;1964;5264;1917;298;150,5067114;31,49328859;22,68120805;6,22147651;6,432885906;75,75167785;16,56375839;8,946308725;6,590604027;6,432885906
46064;23181;9416;4956;6525;1878;1783;2148;5931;2294;299;154,0602007;31,4916388;21,82274247;5,963210702;7,672240803;77,52842809;16,57525084;6,280936455;7,183946488;7,672240803
45881;23090;9495;4976;6481;2030;1389;1678;5556;2275;300;152,9366667;31,65;21,60333333;4,63;7,583333333;76,96666667;16,58666667;6,766666667;5,593333333;7,583333333
43538;21919;9536;4996;6785;2644;1981;1894;5981;2017;301;144,6445183;31,68106312;22,54152824;6,581395349;6,700996678;72,82059801;16,59800664;8,784053156;6,292358804;6,700996678
44495;22398;9549;5016;7447;2848;1901;2262;6808;2787;302;147,3344371;31,6192053;24,6589404;6,294701987;9,228476821;74,16556291;16,60927152;9,430463576;7,490066225;9,228476821
42542;21422;9592;5036;6518;2424;2260;2050;6402;2497;303;140,4026403;31,65676568;21,51155116;7,458745875;8,240924092;70,69966997;16,62046205;8;6,765676568;8,240924092
46677;23490;9637;5056;6444;2294;1990;2100;5714;2245;304;153,5427632;31,70065789;21,19736842;6,546052632;7,384868421;77,26973684;16,63157895;7,546052632;6,907894737;7,384868421
45330;22817;9676;5076;7380;2728;1671;2028;5944;2429;305;148,6229508;31,72459016;24,19672131;5,478688525;7,963934426;74,80983607;16,64262295;8,944262295;6,649180328;7,963934426
