insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n);wpolczynnik QS;wspolczynnik DP QS
15303;7738;4988;2638;3449;1205;894;1008;3077;1157;175;87,44571429;28,50285714;19,70857143;5,108571429;6,611428571;44,21714286;15,07428571;6,885714286;5,76;6,611428571;1,333204187;1,115244664
15650;7912;5024;2656;3454;1211;906;1021;3112;1170;176;88,92045455;28,54545455;19,625;5,147727273;6,647727273;44,95454545;15,09090909;6,880681818;5,801136364;6,647727273;1,330761651;1,121971632
15737;7956;5055;2674;3505;1231;932;1030;3140;1168;177;88,90960452;28,55932203;19,80225989;5,265536723;6,598870056;44,94915254;15,10734463;6,95480226;5,81920904;6,598870056;1,343624628;1,124235067
15863;8020;5091;2692;3508;1248;923;1029;3179;1208;178;89,11797753;28,6011236;19,70786517;5,185393258;6,786516854;45,05617978;15,12359551;7,011235955;5,780898876;6,786516854;1,353054578;1,11561952
16085;8131;5125;2710;3516;1259;933;1039;3187;1216;179;89,8603352;28,63128492;19,6424581;5,212290503;6,793296089;45,42458101;15,1396648;7,033519553;5,804469274;6,793296089;1,355889039;1,118958468
16224;8201;5158;2728;3555;1255;929;1048;3185;1213;180;90,13333333;28,65555556;19,75;5,161111111;6,738888889;45,56111111;15,15555556;6,972222222;5,822222222;6,738888889;1,342630494;1,121176699
16365;8272;5192;2746;3657;1280;949;1052;3246;1223;181;90,41436464;28,68508287;20,20441989;5,243093923;6,756906077;45,70165746;15,17127072;7,071823204;5,812154696;6,756906077;1,360359189;1,118045208
16687;8434;5230;2764;3589;1254;957;1065;3248;1207;182;91,68681319;28,73626374;19,71978022;5,258241758;6,631868132;46,34065934;15,18681319;6,89010989;5,851648352;6,631868132;1,324000968;1,124450583
16900;8541;5261;2782;3645;1280;938;1069;3253;1228;183;92,34972678;28,74863388;19,91803279;5,12568306;6,710382514;46,67213115;15,20218579;6,994535519;5,841530055;6,710382514;1,342653635;1,121325575
16802;8492;5297;2800;3697;1282;958;1077;3282;1249;184;91,31521739;28,78804348;20,0923913;5,206521739;6,788043478;46,15217391;15,2173913;6,967391304;5,85326087;6,788043478;1,336045472;1,122403255
16991;8587;5333;2818;3746;1340;966;1073;3300;1237;185;91,84324324;28,82702703;20,24864865;5,221621622;6,686486486;46,41621622;15,23243243;7,243243243;5,8;6,686486486;1,387499911;1,111035377
17286;8735;5365;2836;3671;1299;969;1069;3299;1261;186;92,93548387;28,84408602;19,73655914;5,209677419;6,779569892;46,96236559;15,24731183;6,983870968;5,747311828;6,779569892;1,336435041;1,099806819
17533;8859;5400;2854;3755;1325;982;1099;3341;1260;187;93,75935829;28,87700535;20,0802139;5,251336898;6,737967914;47,37433155;15,26203209;7,085561497;5,877005348;6,737967914;1,354504755;1,123472246
17724;8955;5437;2872;3781;1347;976;1106;3395;1268;188;94,27659574;28,92021277;20,11170213;5,191489362;6,744680851;47,63297872;15,27659574;7,164893617;5,882978723;6,744680851;1,368275189;1,123468715
17946;9067;5466;2890;3780;1327;981;1109;3394;1278;189;94,95238095;28,92063492;20;5,19047619;6,761904762;47,97354497;15,29100529;7,021164021;5,867724868;6,761904762;1,339470219;1,119421607
18144;9166;5505;2908;3802;1309;950;1108;3431;1299;190;95,49473684;28,97368421;20,01052632;5;6,836842105;48,24210526;15,30526316;6,889473684;5,831578947;6,836842105;1,313024981;1,111406936
18423;9306;5541;2926;3881;1355;1011;1120;3535;1335;191;96,45549738;29,0104712;20,31937173;5,293193717;6,989528796;48,72251309;15,31937173;7,094240838;5,863874346;6,989528796;1,350699071;1,116444988
18497;9344;5573;2944;3839;1346;974;1110;3490;1337;192;96,33854167;29,02604167;19,99479167;5,072916667;6,963541667;48,66666667;15,33333333;7,010416667;5,78125;6,963541667;1,333413759;1,099620559
18812;9502;5608;2962;3868;1359;1022;1161;3445;1324;193;97,47150259;29,05699482;20,04145078;5,295336788;6,860103627;49,23316062;15,34715026;7,041450777;6,015544041;6,860103627;1,337994547;1,143054944
18779;9486;5641;2980;3912;1382;1024;1144;3548;1345;194;96,79896907;29,07731959;20,16494845;5,278350515;6,932989691;48,89690722;15,36082474;7,12371134;5,896907216;6,932989691;1,352297485;1,119412679
19140;9667;5676;2998;3959;1397;1047;1178;3519;1304;195;98,15384615;29,10769231;20,3025641;5,369230769;6,687179487;49,57435897;15,37435897;7,164102564;6,041025641;6,687179487;1,358638946;1,145652598
19240;9717;5713;3016;3983;1429;1053;1170;3575;1347;196;98,16326531;29,14795918;20,32142857;5,37244898;6,87244898;49,57653061;15,3877551;7,290816327;5,969387755;6,87244898;1,38132966;1,1309697
19570;9883;5745;3034;3977;1376;1051;1174;3619;1343;197;99,34010152;29,16243655;20,18781726;5,335025381;6,817258883;50,16751269;15,40101523;6,984771574;5,959390863;6,817258883;1,322071215;1,127988086
19779;9988;5779;3052;3985;1408;1012;1150;3620;1374;198;99,89393939;29,18686869;20,12626263;5,111111111;6,939393939;50,44444444;15,41414141;7,111111111;5,808080808;6,939393939;1,344695922;1,098295675
19927;10062;5814;3070;4079;1405;1052;1181;3667;1397;199;100,1356784;29,2160804;20,49748744;5,286432161;7,020100503;50,56281407;15,42713568;7,060301508;5,934673367;7,020100503;1,333817292;1,121165994
19995;10097;5850;3088;4076;1446;1042;1187;3664;1411;200;99,975;29,25;20,38;5,21;7,055;50,485;15,44;7,23;5,935;7,055;1,364584169;1,120166949
20156;10178;5884;3106;4108;1438;1059;1186;3725;1399;201;100,278607;29,27363184;20,43781095;5,268656716;6,960199005;50,63681592;15,45273632;7,154228856;5,900497512;6,960199005;1,3490133;1,112607631
20405;10303;5921;3124;4063;1426;1073;1204;3715;1398;202;101,0148515;29,31188119;20,11386139;5,311881188;6,920792079;51,0049505;15,46534653;7,059405941;5,96039604;6,920792079;1,329888834;1,122851442
20537;10369;5957;3142;4213;1522;1065;1217;3725;1415;203;101,1674877;29,34482759;20,75369458;5,246305419;6,97044335;51,07881773;15,47783251;7,497536946;5,995073892;6,97044335;1,411113549;1,128334553
20742;10472;5988;3160;4145;1471;1060;1204;3803;1414;204;101,6764706;29,35294118;20,31862745;5,196078431;6,931372549;51,33333333;15,49019608;7,210784314;5,901960784;6,931372549;1,355889736;1,109783305
21051;10627;6024;3178;4190;1471;1098;1207;3774;1413;205;102,6878049;29,38536585;20,43902439;5,356097561;6,892682927;51,83902439;15,50243902;7,175609756;5,887804878;6,892682927;1,348036127;1,106104422
21444;10824;6057;3196;4243;1493;1106;1228;3801;1460;206;104,0970874;29,40291262;20,59708738;5,368932039;7,087378641;52,54368932;15,51456311;7,247572816;5,961165049;7,087378641;1,360311799;1,118863288
21486;10846;6091;3214;4270;1502;1107;1237;3817;1424;207;103,7971014;29,42512077;20,62801932;5,347826087;6,879227053;52,39613527;15,52657005;7,256038647;5,975845411;6,879227053;1,360664031;1,120600137
21523;10865;6129;3232;4285;1497;1152;1267;3858;1488;208;103,4759615;29,46634615;20,60096154;5,538461538;7,153846154;52,23557692;15,53846154;7,197115385;6,091346154;7,153846154;1,348396073;1,141227671
21781;10994;6161;3250;4339;1543;1107;1249;3878;1468;209;104,215311;29,4784689;20,76076555;5,296650718;7,023923445;52,60287081;15,55023923;7,38277512;5,976076555;7,023923445;1,381938076;1,118626479
22214;11211;6197;3268;4347;1527;1126;1255;3910;1491;210;105,7809524;29,50952381;20,7;5,361904762;7,1;53,38571429;15,56190476;7,271428571;5,976190476;7,1;1,359880745;1,117649204
22382;11296;6232;3286;4438;1579;1105;1239;3875;1447;211;106,0758294;29,53554502;21,03317536;5,236966825;6,857819905;53,53554502;15,57345972;7,483412322;5,872037915;6,857819905;1,398283014;1,097196108
